"","Name","m_h_ratio","pvalue","p_adj_BH"
"170","PE(16:0/20:4)",1.14519523586191,0.285482390023988,0.529735497467674
"171","PE(16:0/22:6)",1.13504785816046,0.289571433113984,0.529735497467674
"172","PE(P-38:5)",0.825974374113491,0.0789830931822446,0.333595183718705
"173","PE(18:1/20:4)",1.09838940269821,0.403044321733206,0.627498849604266
"174","PC(15:1/22:6)",1.07118120110529,0.558924409737775,0.757768154555531
"175","PE(18:2/18:1)",1.13570700901223,0.162145500351459,0.454250936289647
"176","Indole-3-carboxylic acid",1.02361862039277,0.787568720330066,0.887174584274629
"177","PE(18:1/16:0)",1.06957974196044,0.516164579497426,0.723651943819734
"178","Pantetheine",0.790881917095742,0.0554488705153043,0.304378906232947
"179","PC(18:2/17:1)",0.914537767035194,0.345616746747622,0.577870153449913
"180","PC(17:0/18:2)",1.00512359332825,0.957758008429077,0.972840811711425
"181","PC(17:1/16:0)",0.926413819933974,0.347170053429211,0.577870153449913
"182","PC(18:2/15:0)",1.02940336241096,0.790892071252576,0.887174584274629
"183","PE(34:1)",1.07221906408573,0.50123197686376,0.71446325983895
"184","PE(36:3)",1.13525274192743,0.163721409280264,0.454250936289647
"185","PE(P-38:6)",0.748673142398565,0.0307075455630934,0.198110704665226
"186","Phenylacetylglycine",1.05885581820417,0.419134946568084,0.639092233961967
"187","PE(18:0/18:2)",1.03204276277508,0.769739515946692,0.878729181921445
"188","2-Hydroxy-3-methylbutyric acid",1.35203806086784,0.00470612161938257,0.0864149178067827
"189","LysoPE(0:0/16:1(9Z))",1.16043119378486,0.0814592890475908,0.333595183718705
"190","O-Phosphoethanolamine",1.16043119378486,0.0814592890475908,0.333595183718705
"191","Phosphodimethylethanolamine",1.16043119378486,0.0814592890475908,0.333595183718705
"192","LysoPE(0:0/18:1(11Z))",1.17947096873468,0.0738012607976753,0.332045392904267
