"","peak_id","m_h_ratio","pvalue","p_adj_BH"
"956",3163,0.768116402898586,0.0450064838166723,0.346380891344528
"957",3186,1.09560428186464,0.495329295056666,0.780219241502011
"958",3189,0.88977784445741,0.230134544445866,0.589935619391246
"959",3192,1.08143193634419,0.212714738638607,0.566937580002757
"960",3194,1.2297013706588,0.0202421969047422,0.248358661798021
"961",3195,1.23918809258998,0.00387727233486203,0.106542727770495
"962",3196,1.19738473034554,0.0188812895745894,0.243290729250682
"963",3197,1.07897572629662,0.234546739116795,0.595374415267482
"964",3198,1.08073246239907,0.220285881094372,0.578311532074623
"965",3199,0.965829897101583,0.682108175918176,0.876593892006179
"966",3200,0.999268714648267,0.992579884442045,0.994342973657073
"967",3203,1.12816779367509,0.0491053029567557,0.346875429532872
"968",3207,1.05705536479756,0.428472653303312,0.743352891850305
"969",3227,0.713057828895501,0.0119996603791377,0.205282095975922
"970",3241,0.818261646317463,0.0497497755960779,0.348805329645636
"971",3245,1.25042470198326,0.0477468724173795,0.346380891344528
"972",3250,1.31013901161221,0.0150213878923954,0.2273811211674
"973",3274,0.820384152310184,0.0437326513943003,0.346380891344528
"974",3276,0.990010847714598,0.922939785318762,0.970276062675054
"975",3282,1.00283871445006,0.972060896304371,0.990689053610261
"976",3287,0.825446806110674,0.168120087013672,0.53002960318572
"977",3309,1.15476476310023,0.0715055587854624,0.408794520405506
"978",3310,0.997873873504092,0.979518347371223,0.991561010492404
"979",3337,0.811632394813845,0.135081533352903,0.495028794403621
"980",3366,0.985918298628767,0.865169098249547,0.950170678093462
"981",3402,1.00741382537402,0.936246975576115,0.975110396781203
"982",3406,0.922505750444345,0.303168116857143,0.647922480810266
"983",3409,0.997154535239053,0.971571453034508,0.990689053610261
"984",3422,0.858873080326766,0.224843877268406,0.584729594547023
"985",3429,1.02514427947581,0.750355541684724,0.906699718858904
"986",3432,1.16927958042793,0.0797527958971254,0.428929210176054
"987",3433,1.08387360695373,0.281698309578798,0.63415156210942
"988",3435,0.952453134503379,0.686306822647987,0.87845403253104
