"","Name","f_h_ratio","pvalue","p_adj_BH"
"169","PE(16:0/20:4)",0.961344138279978,0.633509980422163,0.922455335656264
"170","PE(16:0/22:6)",1.01415887732682,0.844452316016916,0.98126475890304
"171","PE(P-38:5)",1.0735489984035,0.651268708839102,0.931666624277798
"172","PE(18:1/20:4)",0.8151044883732,0.155833121792715,0.740386886625132
"173","PC(15:1/22:6)",0.970029937650439,0.741680757359789,0.931666624277798
"174","PE(18:2/18:1)",0.858082806797476,0.270811215250724,0.754172834386116
"175","Indole-3-carboxylic acid",1.43809334425943,0.0027053186516203,0.154524871629996
"176","PE(18:1/16:0)",1.00047121229519,0.997021118911813,0.999314877030777
"177","Pantetheine",1.09774368163217,0.468429807099836,0.828250137378705
"178","PC(18:2/17:1)",0.697322196402593,0.13901367573777,0.740386886625132
"179","PC(17:0/18:2)",0.990450671319962,0.965997075337115,0.999314877030777
"180","PC(17:1/16:0)",1.3558992224539,0.156361852607092,0.740386886625132
"181","PC(18:2/15:0)",1.03606095965239,0.84762948045321,0.98126475890304
"182","PE(34:1)",1.00427475143296,0.972916752459079,0.999314877030777
"183","PE(36:3)",0.844870342718249,0.240248726728569,0.754172834386116
"184","PE(P-38:6)",1.12344860647099,0.474575092442173,0.828250137378705
"185","Phenylacetylglycine",0.918640808779967,0.327693830069002,0.8097818685359
"186","PE(18:0/18:2)",1.02824645288571,0.88215963317234,0.989317719541001
"187","2-Hydroxy-3-methylbutyric acid",1.05650949205983,0.418339776187409,0.828250137378705
"188","LysoPE(0:0/16:1(9Z))",1.02802442424238,0.729220430128602,0.931666624277798
"189","O-Phosphoethanolamine",1.02468529084755,0.761284940942003,0.931666624277798
"190","Phosphodimethylethanolamine",1.02468529084755,0.761284940942003,0.931666624277798
"191","LysoPE(0:0/18:1(11Z))",0.973535430136243,0.786110188592369,0.944066908730088
"192","4-Acetamidobutanoic acid",0.952167475717077,0.447841252716505,0.828250137378705
"193","p-Hydroxymandelic acid",0.920758211728397,0.400964322743111,0.828250137378705
"194","Cholic acid",1.04051201769792,0.533265245908563,0.871250235422497
"195","Ribothymidine",0.997223775193564,0.979275335703527,0.999314877030777
"196","Glucosyl (2E-6E-10x)-10-11-dihydroxy-2-6-farnesadienoate",0.881874203079108,0.323873904921613,0.808112558882083
"197","LysoPE(22:5)",1.00083528063684,0.991607862113396,0.999314877030777
"198","LysoPE(22:4)",1.17958721028975,0.25914128542108,0.754172834386116
"199","LysoPE(22:1)",0.881680879065794,0.290039507428722,0.763596994358382
"200","LysoPC(20:4)",1.1377652003965,0.45726617685109,0.828250137378705
"201","LysoPI(20:4)",1.16953819405583,0.0683870773993645,0.573806405784971
"202","Propenoyl carnitine C3:1",0.964876677322887,0.546070187849388,0.882553868802001
"203","LysoPE(P-16:0)",1.13665913587866,0.128319757410159,0.740386886625132
"204","LysoPC(14:0)",1.12211682414548,0.253405850817166,0.754172834386116
"205","lysoPE(20:4)",0.916331281511783,0.286063795107289,0.763596994358382
"206","LysoPE(20:3)",0.874513807119682,0.146765937092255,0.740386886625132
"207","lysoPE(20:2)",1.0856261124721,0.605750950267596,0.921171563424688
"208","LysoPE(20:1)",0.95875339642199,0.749327099847316,0.931666624277798
"209","LysoPC(18:1)",1.02354580187967,0.877067396615221,0.989317719541001
"210","LysoPI(18:0)",1.09262949719003,0.204765121357659,0.754172834386116
"211","Corchoionol C 9-glucoside",1.06579405454051,0.622678960685106,0.922455335656264
"212","LysoPC(14:1)",1.37137590258069,0.0334254154463925,0.429401015447725
"213","LysoPE(18:3)",0.988413098486027,0.884127479930418,0.989317719541001
"214","Deoxyribose",0.953725788608563,0.493365405263693,0.828250137378705
"215","N-Butyrylglycine",0.952167475717077,0.447841252716505,0.828250137378705
"216","L-Gulonolactone",1.05825085810584,0.549449879409806,0.882553868802001
"217","1-Methylguanine",0.955536024831391,0.470880478163194,0.828250137378705
"218","5,6-Dihydrouridine",0.961421134094061,0.535632440454297,0.871250235422497
"219","7-Methylguanine",0.955781520149817,0.472935787839144,0.828250137378705
"220","Galactose",0.921086642073945,0.497614393166344,0.828250137378705
"221","Aminoadipic acid",1.13824665559529,0.24285901819912,0.754172834386116
"222","Glycine",1.18781896476449,0.132066551340414,0.740386886625132
"223","L-Glutamic acid",1.00579783900625,0.96151406049829,0.999314877030777
"224","L-Glutamine",1.28962556467468,0.17020791632123,0.754172834386116
"225","Glycerophosphocholine",1.18746360022373,0.202065129358947,0.754172834386116
"226","L-Malic acid",0.81904491624642,0.19468004744879,0.754172834386116
"227","5-L-Glutamyl-taurine",0.909018981482193,0.385983989742234,0.828250137378705
"228","Citraconic acid",0.96884676290292,0.599296131355317,0.917291709301306
"229","glycero-3-Phosphoethanolamine",1.07731108698867,0.465240734282412,0.828250137378705
"230","N-Glycolylneuraminic acid",0.990854968345148,0.893080587289931,0.989317719541001
"231","Glutaconic acid",0.96884676290292,0.599296131355317,0.917291709301306
"232","Glu-Ala",0.953193270645697,0.698826845441013,0.931666624277798
"233","Glycerol 3-phosphate",1.02168139425212,0.764909174017958,0.931666624277798
"234","L-Aspartic acid",1.02739882669253,0.806144761938538,0.957518953283265
"235","Citrulline",1.14117617010378,0.447779504394943,0.828250137378705
"236","Glutamylserine",1.01341291940169,0.929638990762488,0.999314877030777
"237","Acetylphosphate",1.14094345538511,0.297119453057736,0.763596994358382
"238","Glycerylphosphorylethanolamine",1.07234804140961,0.492105364088478,0.828250137378705
"239","Glucose 1-phosphate",1.07942050281312,0.361217198594572,0.821529380874381
"240","gamma-D-Glutamylglycine",1.02138662650691,0.880243997792549,0.989317719541001
"241","Cellobiose",1.16037516559373,0.0417705267945257,0.429401015447725
"242","Citric acid",1.14864357289796,0.16148827136511,0.740386886625132
"243","Fructose 6-phosphate",1.07942050281312,0.361217198594572,0.821529380874381
"244","Mannose 6-phosphate",1.07942050281312,0.361217198594572,0.821529380874381
"245","1,2,3-Propanetricarboxylic acid",1.04437501298353,0.739631355770085,0.931666624277798
"246","D-Ribose 5-phosphate",1.20566888816495,0.111296279731299,0.740386886625132
"247","Sulfate",1.22694230895381,0.209423264359419,0.754172834386116
"248","Alpha-Lactose",1.16037516559373,0.0417705267945257,0.429401015447725
"249","Lactose",1.16037516559373,0.0417705267945257,0.429401015447725
"250","Galactose 1-phosphate",1.07942050281312,0.361217198594572,0.821529380874381
"251","Anserine",1.23695550091647,0.0101396888192729,0.306745707648976
"252","Glucose 6-phosphate",1.07942050281312,0.361217198594572,0.821529380874381
"253","Phosphoglycolic acid",1.15212624196637,0.244926978643958,0.754172834386116
"254","Carnosine",1.21911261288861,0.0191644866021188,0.378867158211117
"255","hexose-phosphate",1.07942050281312,0.361217198594572,0.821529380874381
"256","Glutaminylglutamic acid",1.12635400814579,0.429395253746488,0.828250137378705
"257","Homocarnosine",1.2318953502532,0.0119356306478201,0.306745707648976
