"","Name","term","estimate","std.error","statistic","p.value","p_adj_BH"
"64","lysoPS(22:0)","daysLeft",0.00129273342914836,0.000411748490064646,3.13961911298181,0.001731299106665,0.00697929952374329
"65","Trihydroxycoprostanoic acid","daysLeft",0.00211473182887362,0.000677510108020114,3.12132882423481,0.00184163448534116,0.00701116555220803
"66","C26:5","daysLeft",-0.00178280358231818,0.000570359289449349,-3.12575531826505,0.00181435395485122,0.00701116555220803
"67","Propenoyl carnitine C3:1","daysLeft",-0.00136154245716718,0.000436347051814753,-3.1203200560301,0.00184790409903157,0.00701116555220803
"68","1-Methylguanine","daysLeft",-0.00154125890516872,0.000491948138977564,-3.13297029311257,0.00177068382222364,0.00701116555220803
"69","N-Glycolylneuraminic acid","daysLeft",-0.00148237574038073,0.000476866484361466,-3.10857606687469,0.00192235329188279,0.00718792970008349
"70","Cortisol","daysLeft",-0.00209074288551515,0.000676966229889774,-3.08840056298757,0.00205672060684305,0.00758048452236437
"71","PE(34:1)","daysLeft",-0.00180714964493878,0.000593281371948165,-3.04602458527329,0.00236745367444834,0.00860285983109398
"72","C20:4","daysLeft",0.000957406077854338,0.000317882347538046,3.01182524059393,0.00264899141012795,0.00949221921962516
"73","C26:4","daysLeft",-0.00187651610770872,0.000627251312487644,-2.99164955154349,0.00282913091351363,0.00999884624228106
"74","PE(18:1/16:0)","daysLeft",-0.00171164526011142,0.000585228894530583,-2.92474496066081,0.00350957867252068,0.0122360986150045
"75","Hexanoylglycine","daysLeft",-0.0014384656287822,0.000500006267644558,-2.87689519485138,0.00408430555398612,0.0140500111057123
"76","Arachidic acid","daysLeft",0.000604411345231064,0.000214821315706373,2.81355387496648,0.00497646666917029,0.0168937947453412
"77","C19:2","daysLeft",0.00104429237328002,0.000372562816967181,2.80299677187595,0.00514125004215352,0.0172265261152676
"78","equol sulfate","daysLeft",0.00193315441677573,0.000692417195170104,2.79189256168143,0.00531988628127958,0.0175965469303863
"79","Linoleic acid","daysLeft",-0.000499079721752168,0.000181169659498453,-2.75476436360157,0.00595866738085156,0.0194599516994899
