"","Name","term","estimate","std.error","statistic","p.value","p_adj_BH"
"112","C22:6","Timepoint:DietPF",-0.0525234376664278,0.014658183898635,-3.58321590380093,0.000351454588729423,0.00771662042927079
"113","Ketoleucine","DietZGN1062",-0.232417872546466,0.0648829351924264,-3.58211094885232,0.000352930701803858,0.00771662042927079
"114","2-keto-isocaproate","DietZGN1062",-0.232417872546466,0.0648829351924264,-3.58211094885232,0.000352930701803858,0.00771662042927079
"115","2-Methyl-3-ketovaleric acid","DietZGN1062",-0.232417872546466,0.0648829351924264,-3.58211094885232,0.000352930701803858,0.00771662042927079
"116","LysoPE(18:1(9Z)/0:0)","Timepoint:DietZGN1062",-0.0446538792247958,0.0124358577502937,-3.59073576760244,0.000341561288128372,0.00771662042927079
"117","LysoPE(20:1)","Timepoint:DietZGN201",-0.0594416672583528,0.0166872185973486,-3.56210754426128,0.000380677828188925,0.00825335123300358
"118","Ceramide (d18:1/16:0)","Timepoint:DietMetR",-0.149973534355737,0.0422161341574884,-3.55251700206033,0.000394693167733687,0.00831999105344993
"119","Hyodeoxycholic acid","Timepoint:DietZGN201",-0.10094818739346,0.0284175032220601,-3.55232430536317,0.000394979653586413,0.00831999105344993
"120","Chenodeoxycholic acid","Timepoint:DietZGN201",-0.101008381939071,0.0284434274441579,-3.5512028969567,0.000396650736269125,0.00831999105344993
"121","Citric acid","DietZGN1062",-0.178638689793571,0.050286806684446,-3.55239677306502,0.000394871891660304,0.00831999105344993
"122","palmitoleic acid","Timepoint:DietZGN201",0.0395955073408095,0.0111902265985604,3.53840085292853,0.000416202402199639,0.00852223966408784
"123","C16:1","Timepoint:DietZGN201",0.0395955073408095,0.0111902265985604,3.53840085292853,0.000416202402199639,0.00852223966408784
"124","5-L-Glutamyl-taurine","Timepoint:DietZGN1062",-0.0714294890167625,0.0201854074449184,-3.53866966578099,0.00041578276111838,0.00852223966408784
"125","palmitoleic acid","Timepoint:DietMetR",0.0334290100105427,0.00946985541162064,3.53004439429152,0.000429446796202625,0.00865603698595916
"126","C16:1","Timepoint:DietMetR",0.0334290100105427,0.00946985541162064,3.53004439429152,0.000429446796202625,0.00865603698595916
"127","7-Methylguanine","Timepoint:DietZGN201",-0.0860454009336755,0.0244324216719069,-3.52177127953768,0.000442946326628557,0.00885892653257114
"128","6-Deoxohomodolichosterone","Timepoint:DietMetR",-0.0764234747469446,0.0217448622611012,-3.5145531771731,0.00045504723171256,0.00903093736783389
"129","PG(18:2/18:2)","DietMetR",-0.625331362263589,0.178349928846582,-3.50620471960774,0.000469428087382852,0.00916171625901739
"130","C14:2","Timepoint:DietZGN201",-0.0430333626807469,0.0122792069009032,-3.50457183660467,0.00047229002420516,0.00916171625901739
"131","N-acetyl-phe","Timepoint:DietPF",-0.0521161885606943,0.0148553539569765,-3.50824279997845,0.000465878689219957,0.00916171625901739
"132","Linoleic acid","DietZGN1062",0.13644609601145,0.0390795817132724,3.49149325631368,0.000495807638747879,0.00940576255859948
"133","N-Acetyl-L-phenylalanine","Timepoint:DietPF",-0.0513927526638852,0.0147047533171055,-3.49497550592039,0.000489441368720482,0.00940576255859948
"134","PE(18:2/18:1)","Timepoint:DietZGN201",-0.118943530111854,0.0340567716178421,-3.4925074944432,0.000493945468987537,0.00940576255859948
"135","Glutamylserine","Timepoint:DietMetR",0.0583954102658046,0.0167949562513442,3.47696114189824,0.000523218881800148,0.0098533190879152
"136","1-Methylguanine","Timepoint:DietZGN201",-0.0881747367870262,0.0254449315182987,-3.46531633318075,0.000546197514279453,0.0102115187452246
"137","PG(18:1/18:2)","Timepoint:DietZGN1062",-0.096443142973475,0.0278941340061906,-3.45747041123669,0.000562206841298546,0.0104352061190665
"138","Stearic acid","Timepoint:DietZGN201",-0.028649113826,0.00830942647675783,-3.44778474256124,0.00058257350025006,0.0107359973617511
"139","PG (34:1)","Timepoint:DietMetR",-0.0674358773969329,0.0195944545119107,-3.44157972634253,0.000595980363512401,0.0108283756187464
"140","Cholic acid","Timepoint:DietMetR",0.132903078483937,0.0386147196450905,3.44177245634449,0.000595559650856393,0.0108283756187464
"141","PE(36:3)","Timepoint:DietZGN201",-0.117583171149113,0.0342377462269579,-3.43431399863963,0.00061204431277125,0.0110424778108379
"142","4-Pyridoxic acid","Timepoint:DietZGN201",-0.0714793100720075,0.0208345997722331,-3.43079832842626,0.000619961159389003,0.011107637439053
"143","Capryloylglycine","Timepoint:DietZGN201",-0.0584077054857409,0.0170855809824146,-3.41853786218082,0.000648322732103982,0.011535673440195
"144","PC(17:1/16:0)","DietMetR",-0.239780655701104,0.070184153070589,-3.41645008467852,0.000653271019235016,0.0115441043125092
"145","C19:2","Timepoint:DietPF",-0.0640520581585651,0.0187874988847216,-3.40929138846968,0.000670506246372406,0.0117680688138831
"146","LysoPE(22:1)","Timepoint:DietZGN1062",-0.116693782874394,0.0343216581194047,-3.40000423255827,0.00069349687074525,0.0120082008491459
"147","Glycerophosphocholine","Timepoint:DietZGN1062",-0.0716538401431574,0.0210655003798418,-3.40147819188407,0.000689799730806242,0.0120082008491459
"148","C17:2","Timepoint:DietMetR",0.0294664681032972,0.0086753358235955,3.39657953334247,0.000702158364018243,0.0120771238611138
"149","PE(18:1/20:4)","Timepoint:DietZGN201",-0.091711609492394,0.0271359970086013,-3.37970296294344,0.000746330526681384,0.0127518725750859
"150","PE(P-20:4/16:0)","DietZGN1062",-0.297674412595346,0.088245366509591,-3.37325827258016,0.000763870069536466,0.0129656893381848
"151","Phenol sulphate","Timepoint:DietZGN201",-0.174938338746939,0.0518935016148715,-3.37110299561681,0.000769820739183729,0.0129812908960394
"152","Cholic acid","Timepoint:DietZGN201",-0.153542453519467,0.0456297846256655,-3.36496117128511,0.000787015335258455,0.0131850621101741
"153","LysoPE(0:0/18:1(11Z))","Timepoint:DietZGN1062",-0.0476291790776432,0.0141888624678747,-3.35680039083341,0.000810414568798654,0.0134894812096808
"154","C26:4","Timepoint:DietPF",-0.0987832062382769,0.0294526928686515,-3.35396178131537,0.000818704008540123,0.0135401047566251
"155","Sulfate","Timepoint:DietMetR",-0.0361361173482162,0.0107936738303964,-3.34789784424022,0.000836676690912965,0.0137492093156398
"156","N-acetyl-phe","Timepoint:DietMetR",-0.047672525642931,0.014251654690609,-3.34505197311188,0.000845237178412077,0.0138019741791339
"157","N-Acetyl-L-phenylalanine","Timepoint:DietMetR",-0.0471310020014973,0.0141071742344824,-3.34092435650892,0.00085779780193343,0.013918983201184
"158","C24:2","Timepoint:DietPF",-0.041284402428412,0.0123689181183353,-3.3377537172967,0.000867563717330523,0.0139894649419547
"159","1-Methylnicotinamide","Timepoint:DietZGN201",-0.0667857354367003,0.0200933982412035,-3.32376508119715,0.000911894895209316,0.0146129740971431
"160","C20:3","Timepoint:DietZGN1062",-0.0346247676142151,0.0104604508587533,-3.31006455474538,0.000957342078215445,0.0152465590234312
"161","PG(20:4/18:1)","Timepoint:DietZGN1062",-0.0997100285638393,0.0301847176526918,-3.30332818451748,0.000980449943070957,0.0155187782400188
"162","Cresol sulfate","Timepoint:DietMetR",-0.190847166329414,0.0579637572450331,-3.29252580233258,0.00101858736125669,0.0160241182441601
"163","PG(18:1/22:6)","Timepoint:DietZGN201",-0.0917963483372015,0.0279175757590915,-3.28812032711356,0.00103453171753284,0.0160788664532213
"164","PE(P-16:0/22:6)","Timepoint:DietMetR",-0.0583170058547966,0.017732171233855,-3.28876848106764,0.00103217149202052,0.0160788664532213
"165","Heneicosanoic acid","Timepoint:DietZGN201",-0.0363965035861093,0.011083427608601,-3.28386712769835,0.00105014404338572,0.0162237822271566
"166","PE(18:1/20:4)","Timepoint:DietMetR",-0.0752933089221491,0.0229641433851468,-3.27873361785612,0.00106927834711437,0.016421060330685
"167","lysoPE(20:4)","DietMetR",-0.265471217155709,0.081124020514313,-3.27241198688952,0.00109328470783685,0.0166903819302904
"168","PG(18:2/22:6)","Timepoint:DietZGN1062",-0.0866067285923393,0.0265698924976681,-3.25958144542513,0.00114355014233206,0.0173209559876165
"169","LysoPE(20:1)","Timepoint:DietMetR",-0.0460152416703973,0.014121746860723,-3.25846668434343,0.00114801685034202,0.0173209559876165
"170","Chenodeoxycholic acid","Timepoint:DietMetR",-0.0780594268451724,0.0240705711305033,-3.2429403698798,0.00121193054098383,0.0181789581147574
"171","Hyodeoxycholic acid","Timepoint:DietMetR",-0.0777179564757432,0.0240486324652974,-3.23169962316534,0.00126023914314723,0.0187943178573402
"172","C18:3","Timepoint:DietZGN1062",0.0301977799135105,0.00935986412222528,3.22630537357962,0.00128404817429864,0.0190393349982212
"173","Glu-Ala","Timepoint:Diet40CR",0.262967640623965,0.0815766870443744,3.22356362033827,0.00129630836186617,0.019111288992084
"174","hydroxyvaleric acid","Timepoint:Diet40CR",0.185622842016702,0.0576197495212983,3.22151421272821,0.0013055431583912,0.0191380758445983
"175","Indole-3-carboxylic acid","Timepoint:DietMetR",-0.0412462847250327,0.0128841145970136,-3.20132861396571,0.00139980447235054,0.020403929596974
"176","Heptadecanoic acid","Timepoint:DietZGN201",-0.0280775633420812,0.0087777415384452,-3.1987229538607,0.00141241984680423,0.020443195421792
"177","C15:1","Timepoint:DietMetR",0.0335911312954105,0.0105054149018661,3.19750639162702,0.00141834572887627,0.020443195421792
"178","6-Deoxohomodolichosterone","DietZGN1062",-0.339120820138602,0.10632781655077,-3.18938948564488,0.00145847423049587,0.0207893011860738
"179","Indolepyruvate","DietMetR",-0.352097264319714,0.110341377244021,-3.19098123581554,0.00145052328196748,0.0207893011860738
"180","PC(17:1/16:0)","DietZGN1062",-0.221125428819243,0.0694816111977159,-3.18250289547851,0.00149333889433719,0.0211693096010437
"181","C20:5","Timepoint:DietPF",-0.0474024778864167,0.014975200714772,-3.16539850044598,0.00158328532386194,0.0220804115435881
"182","Neoabietic acid","Timepoint:DietPF",-0.0474024778864167,0.014975200714772,-3.16539850044598,0.00158328532386194,0.0220804115435881
"183","Capryloylglycine","DietZGN1062",-0.223831314433691,0.0707008203631551,-3.16589416196277,0.00158061003905585,0.0220804115435881
"184","Perfluorooctanesulfonic acid","Timepoint:DietPF",0.0456558197443152,0.0144823207430871,3.15252096361062,0.00165427033395783,0.0228554799197946
"185","Propenoyl carnitine C3:1","Timepoint:DietMetR",0.0562351196246941,0.0178404647534529,3.1521106878009,0.00165657935852775,0.0228554799197946
"186","3-[2-(2H-1-3-Benzodioxol-5-yl)ethyl]-5-oxo-2-5-dihydro-1-2-3-oxadiazol-3-ium","Timepoint:DietZGN201",-0.0919509790860133,0.0291945810019148,-3.14959064081045,0.00167082737783042,0.0229294395468218
"187","2-Oxophytanate","Timepoint:DietZGN201",-0.0341489277455474,0.010866678084444,-3.14253606117518,0.0017113154405224,0.0233608139499883
"188","Citrulline","Timepoint:DietZGN201",-0.0521495804058609,0.0166420817611619,-3.13359717577904,0.00176391534993725,0.023952113699148
"189","LysoPE(22:4)","Timepoint:DietZGN1062",-0.0444742422879554,0.0142213631348797,-3.1272840631484,0.00180195634919283,0.0243405622037566
"190","PG(18:1/22:6)","DietZGN1062",-0.360683079089363,0.115524049825981,-3.12214711683563,0.0018334655462585,0.0246371932778485
"191","C22:2","Timepoint:DietPF",-0.0337496470776719,0.0108375006872746,-3.11415408880211,0.00188350262272554,0.0251784288426523
