"","peak_id","term","estimate","std.error","statistic","p.value","p_adj_BH"
"164",7293,"Timepoint",0.0779204357041089,0.0145396477971625,5.35916940981992,1.80341822305393e-07,2.0662334397063e-06
"165",437,"Timepoint",0.0432638120267244,0.00809021662916942,5.34767040362503,1.91000945510155e-07,2.17509561583989e-06
"166",5158,"Timepoint",0.110209374551939,0.0206330723102664,5.34139428654558,1.97074430264909e-07,2.23074008715521e-06
"167",3867,"Timepoint",-0.14113775524388,0.0264722341209264,-5.33153924973449,2.06991868303611e-07,2.32896838648195e-06
"168",450,"Timepoint",0.0433618266067153,0.00814030480379696,5.3268062624006,2.11925596748507e-07,2.37028688268122e-06
"169",5592,"Timepoint",0.085940173946796,0.0161372284970669,5.32558449937154,2.13217621409732e-07,2.37062669011176e-06
"170",443,"Timepoint",0.0415869510283359,0.00783071551443185,5.31074726845739,2.29532126155127e-07,2.53700508850285e-06
"171",4142,"Timepoint",0.132173435911297,0.0249842478192845,5.29027076849906,2.54052849874752e-07,2.79160997026117e-06
"172",464,"Timepoint",-0.0341426177734994,0.0064802741609621,-5.2686995836038,2.82633102914406e-07,3.08760232776842e-06
"173",2647,"Timepoint",0.126868760477723,0.0240862382108415,5.26727168299023,2.84631371494525e-07,3.09145865340008e-06
"174",4820,"Timepoint",0.162575524336491,0.0310721230317187,5.23219878379513,3.38253283841377e-07,3.6527466686089e-06
"175",7198,"Timepoint",0.0686306275165341,0.0131471455762051,5.22019225532485,3.58770132254413e-07,3.85216616289166e-06
"176",6398,"Timepoint",0.105567031397068,0.0202570210575522,5.21137985181246,3.74592260004419e-07,3.99919804856991e-06
"177",396,"Timepoint",-0.036106389964363,0.00694662271610822,-5.19768978969269,4.00523448458495e-07,4.25188451781645e-06
"178",2157,"Timepoint",-0.0442475122317007,0.00852249498669331,-5.19184960516692,4.12108249065915e-07,4.35028876401604e-06
"179",5149,"Timepoint",0.099855925852573,0.0193151273747141,5.16983004643793,4.58782083479001e-07,4.81593036232985e-06
"180",297,"Timepoint",0.164667301160022,0.0318630172418777,5.16797577297855,4.62938620458349e-07,4.83256482134021e-06
"181",1487,"Timepoint",-0.253200736191285,0.0490295892306169,-5.16424347347318,4.71415976802839e-07,4.8669814308381e-06
"182",3846,"Timepoint",-0.0717460929071716,0.0138900689580436,-5.16527982142409,4.69047086513472e-07,4.8669814308381e-06
"183",4125,"Timepoint",0.127739747912998,0.0247929947685314,5.15225163823825,4.99685058027809e-07,5.13064603297406e-06
"184",34,"Timepoint",0.0442115093751477,0.00859016351501179,5.14675993045832,5.13173383469245e-07,5.18419288772836e-06
"185",452,"Timepoint",0.0441644861448771,0.00858287405190938,5.14565236280639,5.1593617349931e-07,5.18419288772836e-06
"186",1526,"Timepoint",-0.0484151334887052,0.00940358672133903,-5.14858159162179,5.0866048489471e-07,5.18419288772836e-06
"187",1750,"Timepoint",0.0441644861448771,0.00858287405190938,5.14565236280639,5.1593617349931e-07,5.18419288772836e-06
"188",442,"Timepoint",0.0440748881013935,0.00858282534766406,5.13524233758166,5.4261841197578e-07,5.42329785160899e-06
"189",3513,"Timepoint",-0.0567832350464971,0.0110795866403341,-5.12503190685684,5.70086293623609e-07,5.66768331068127e-06
"190",4962,"Timepoint",0.0740076575579772,0.0144685032868892,5.11508731003574,5.9813227815902e-07,5.91521342453052e-06
"191",366,"Timepoint",-0.143345425073902,0.0280514828986522,-5.11008368405327,6.12744831907924e-07,6.0279975871989e-06
"192",6655,"Timepoint",-0.0377079407755049,0.00741833616694792,-5.08307252824576,6.97802769606582e-07,6.82901772963941e-06
"193",397,"Timepoint",-0.0383553386117284,0.00757475904909755,-5.06357210349787,7.66208894849966e-07,7.45961924053413e-06
"194",3102,"Timepoint",0.0655143363304306,0.0130309312461177,5.0276020257531,9.09813553640547e-07,8.80224780121934e-06
"195",3738,"Timepoint",-0.060982553255209,0.0121315910910881,-5.02675640790489,9.13485003319729e-07,8.80224780121934e-06
"196",852,"Timepoint",0.0705043847538885,0.0140397973417451,5.02175231149918,9.35506861880591e-07,8.96845608915118e-06
"197",6742,"Timepoint",0.0928463644808076,0.018531162248613,5.01028285410199,9.87937623661985e-07,9.42301926325315e-06
"198",42,"Timepoint",-0.0522940572185003,0.0104661078165439,-4.99651428545751,1.05464149375746e-06,1.00084412463145e-05
"199",6005,"Timepoint",0.0774165186254325,0.015509155062294,4.99166578156461,1.07915257818319e-06,1.01895864040513e-05
"200",3899,"Timepoint",-0.0719435249764331,0.0144755177422338,-4.97001394060889,1.19550428435717e-06,1.12105066664369e-05
"201",4456,"Timepoint",0.0510390069596016,0.0102707431328851,4.96935872110204,1.19920800423301e-06,1.12105066664369e-05
"202",5141,"Timepoint",0.086330992570663,0.0173857449605445,4.96561940639207,1.22055839728311e-06,1.13536100420543e-05
"203",1478,"Timepoint",0.0753288521629718,0.0152255090158561,4.94754244896005,1.32906637488027e-06,1.23020478738918e-05
"204",7192,"Timepoint",0.111558407102918,0.0226065237110822,4.93478822877265,1.411177452594e-06,1.29980511442359e-05
"205",6057,"Timepoint",0.0420063748108526,0.00854302156527455,4.9170395380481,1.53364960672742e-06,1.39889689856351e-05
